top200_Celf4_targets,top500_Celf4_targets,parikshak_2016_ctx.M4,parikshak_2016_ctx.M9,parikshak_2016_ctx.M10,parikshak_2016_ctx.M16,parikshak_2016_ctx.M19,parikshak_2016_ctx.M20,psychEncode_ASD_FDR<0.01,psychEncode_ASD_FDR<0.001,psychEncode_SCZ_FDR<10e-5,psychEncode_SCZ_FDR<10e-9,psychEncode_BD_FDR<0.01,psychEncode_BD_FDR<0.001,SFARI_ASD_Candidate,FMRP_targets_Darnell_2014,conserved_CHD8_promoters_Cotney_2015,CPEB4_binding_Parras_2018,Rbfox1_up_target_genes_Lee_2016,All_Rbfox1_regulated_genes_lee_2016,All_Rbfox1_3'UTR_targets_Lee_2016
,Kcnh7,,GLUL,ATRNL1,DCTN2,COL18A1,KDM1B,SLC25A3,,CHI3L1,,TMEM200A,,,ATG2A,GLUL,Nptn,,Mki67,Mapre2
,Kcnq3,ERCC6,NPL,FOCAD,CKAP5,FAM46C,DACT1,SLC24A2,,UBA3,,9-Mar,,,NRXN2,SMG7,D3Bwg0562e,,Necab2,Mat2a
,Kcnq5,HTR3B,ITM2C,SH2D5,RNMT,CLDN5,AMOTL1,SLC38A11,,SPRN,,N4BP2,,,TRIM3,SMG7-AS1,Ola1,,Itgbl1,Megf11
,Kcns2,PARG,APPL2,PTPRT,EID2,MAML2,SPRED1,AL049758.2,,KIF5C,,LYPD8,,,ARHGEF17,ARPC5,Zranb1,,Itih2,Mgat3
,Kctd8,C1orf233,EDNRB,FAM217B,PNMA1,SOCS3,ADAMTS15,SPR,,HGF,,TDRD9,,,EIF4G2,RGL1,Slc30a5,,Olfml2b,Mmd2
,Kdsr,,TNS3,SLC25A12,SAMD12,MAFF,DCHS1,SNX14,,SLC12A2,,OSBPL3,,,HIPK3,C1orf21,Ptrf,,Mbp,Myst2
,Kirrel3,,LRRC8A,ASB13,PGBD5,IFITM2,ATF7IP2,BTG1,,AC004158.3,,CHAF1B,,,SLC1A2,IVNS1ABP,Map2k1,,Npas4,Nap1l5
,Klhl11,USP27X,TLR4,PIK3R4,ASB8,IRF7,CASC4,UBA3,,CEBPB,,TNFSF9,,,MADD,TROVE2,Nedd4l,,Hist1h4b,Nceh1
,Klhl36,,IL33,SPTSSB,AMER3,ZFP36L1,AGBL1,ERLIN1,,TNIP2,,RBM11,,,PITPNM1,TROVE2,Pdss1,,Gm20594,Nrgn
,Ksr2,METTL21EP,TUBB2B,FITM2,LYNX1,COL4A1,MIDN,ABHD3,,ZNF33A,,CYSLTR1,,,NUP98,TROVE2,Tmod3,,Ufd1l,Pdpk1
,Lancl3,,PRCP,OGDHL,HCCS,EIF4EBP1,NKIRAS2,PPME1,,TUBB6,,TAGAP,,,PTPN5,TROVE2,Fam135a,,Fam163b,Plcxd2
,Lca5,,TTPA,DNM3,KCNB2,PLSCR1,NPNT,DNM1L,,KAZALD1,,HTR5A,,,CAMKK2,UCHL5,Acsl3,,Mpv17l,Plxna2
,Lemd3,,YAP1,HIST1H4E,RABIF,GIMAP5,ENHO,MAPK9,,KLF10,,TPST1,,,ATP5B,UCHL5,Cmpk1,,Nras,Rab14
,Lgr4,BCDIN3D-AS1,UACA,TCEAL6,OPCML,HIST1H2AG,AFAP1L2,RPL28,,USP20,,SEMA3G,,,CUX2,DENND1B,Aqp4,,Rph3a,Rasgrp1
,Lmbrd2,LINC00641,BCAR3,FKBPL,WBSCR17,ARID5A,PTPN9,LYNX1,,APLF,,ZFP3,,,CAND1,DDX59,Slc25a30,,6330439K17Rik,Reep5
,Lnpep,,HADHB,VARS,PARK2,FLNA,ROBO1,PABPC4,,SNX22,,KREMEN2,,,CHD4,ARL8A,Zfp770,,Polr3k,Rnf187
,Lrp12,,FERMT2,GNL1,AHNAK2,CASP4,CHRNB1,PRRT3,,FAM189A2,,GADD45G,,,UHRF1BP1L,KDM5B,Add3,,Cpsf2,Samd8
,Lrp1b,,ITGAV,LNP1,KCNQ5,ACSL5,FRMPD2,SAMM50,,WSB2,,TMEM106A,,,USP5,KDM5B-AS1,Eid1,,Klhl23,Sbno1
,Lrrc58,,OPHN1,SACM1L,,SERPINA1,FOS,SLC25A12,,CNN3,,TCEA2,,,ATN1,ZBED6,Ar,,Usp22,Scrt1
,Lrrc7,,EZR,VSTM5,TSPYL4,LRP10,HAS2,RP11-252P19.1,,PXDC1,,MTND4P12,,,SASH1,ZC3H11A,Acad11,,Rgs8,Slc1a2
,Magee1,,FGF2,NEURL4,USP7,C5AR1,C11orf24,C20orf196,,PDZRN3,,CX3CR1,,,SOBP,PPP1R15B,Ptprg,,Fpgt,Slc4a10
,Manea,,BMPR1B,VPS16,PRKAR1B,S100A10,JMJD1C,CCDC25,,HIF3A,,SDHA,,,CUL9,RBBP5,Pdcd7,,Tmem179,Slc8a2
,Map2k1,,BMP2K,,TUBB4B,CD2AP,RSPH9,ATP2B4,,SUCNR1,,SEMA3F,,,PDE8B,DSTYK,Sar1a,,Nt5dc3,Snap47
,Mapk6,,CDH20,EXTL2,UCHL5,TOR4A,FUT9,EPS8,,GPR88,,KIAA0196,,,WWC1,NUCKS1,Ncoa7,,Grasp,Snx13
,Marcks,,MID1,ARHGEF25,CPNE4,BAZ1A,PDE3A,MORC4,,PTGS1,,PGM5,,,HMGXB3,SYT14,Endod1,,Hsf2bp,Sparcl1
,Matr3,,SLCO1C1,CAMTA1,NF1,PNP,SH3RF3,TMEM167B,,GGPS1,,AP000459.4,,,UNC5A,RCOR3,Napb,,Trh,Spock2
,Mbtps2,,TAPBPL,RCAN2,SCN8A,TGM2,COQ2,ANO6,,ROBO3,,AMACR,,,PLXNA1,RCOR3,Itfg1,,Jsrp1,Sppl3
,Mdga2,,TMBIM6,PRKDC,RGS4,FCGR3A,ABCD2,PSMD7,,SLC16A2,,TP53I13,,,SCAP,LPGAT1,Dcx,,Grp,Sv2a
,Med12l,,DIAPH3,,FAM3C,PSMB8,VANGL1,DLAT,,RNF112,,VASH2,,,EIF4G1,NSL1,NA,,Neb,Tgoln2
,Mesdc1,,ZIC5,,AP2A1,HLA-E,TRIB1,RIMKLA,,SLC2A11,,MED21,,,SLC4A3,TATDN3,Rabgap1l,,Ociad2,Thy1
,Mettl15,,PELI2,,MYO5A,HLA-F,SLC19A1,SNAP25,,COL9A1,,TULP2,,,PIKFYVE,FLVCR1,C1qbp,,Xkrx,Tmcc1
,Mib1,,BNIP2,,RAB3GAP2,CFI,GPR160,TSNAX,,FBXO17,,INO80B,,,APC2,FLVCR1-AS1,Me1,,Ptgs2,Tmem163
,Mkl2,,CYP11A1,,NKIRAS1,HCP5,TCAP,N4BP3,,LMO2,,ZNF492,,,SPTBN1,ANGEL2,Crnkl1,,Pmepa1,Tmem50a
,Myadm,,RLBP1,,SDAD1,GPSM3,AKIRIN1,PPP3CA,,RNF125,,NIM1,,,HDLBP,KCTD3,NA,,D330045A20Rik,Tmem64
,Myo5a,,GCSH,,SCAMP5,CLIC1,NPAS4,LIMD1,,RFX4,,TMEM179,,,STK25,TP53BP2,Ubxn2a,,Mmp3,Tmem9
,Nab2,,IMPA2,,RUSC2,ITGA1,EIF3F,HIST1H3J,,CCNF,,CILP2,,,BIRC6,ENAH,Hnrnpab,,Penk,Tnpo1
,Nap1l2,,ERBB2,,L1CAM,CEBPD,GPR156,CD99,,COG7,,LINC00623,,,AAK1,H3F3A,Entpd5,,Nptx2,Tomm70a
,Nap1l3,,FKBP10,,ATG9A,APOL6,MEX3C,SCHIP1,,HILPDA,,EMCN,,,TRAK2,H3F3AP4,Zc3h11a,,Grm4,Trim32
,Ncald,,SLC44A3,,MAGEE1,ANXA2P2,RNF152,HMOX1,,LINC00943,,AC004057.1,,,EPHA4,ARF1,Tcea1,,Rmrp,Tspan9
,Ndn,,ALDH9A1,,GDI1,HLA-B,SOX11,RAB8B,,PCTP,,PRKAB1,,,CHD5,ARF1,Abcb7,,Taf7l,Ube2b
,Necab1,,POU2F1,,DCTN1,KIAA0040,MLF1,CADPS2,,HNRNPC,,ATG4C,,,ASH1L,ARF1,Cnep1r1,,Cd5l,Ubqln2
,Nell2,,SLC1A4,,LCMT1,PSMB9,ZNF518B,SEC61A1,,YBX3,,ANKDD1A,,,DLGAP3,C1orf35,Gab2,,Anxa6,Vamp1
,Neurl1b,,TOR1AIP1,,PPME1,NEAT1,RAB39A,MANSC1,,SRCIN1,,METAP2,,,ARHGEF2,IBA57,Tfdp2,,Lynx1,Vma21
,Neurod1,,LYPLAL1,,SLC8A1-AS1,LYN,LRRC3B,PCSK2,,NCK2,,SOCS3,,,MEF2D,CCSAP,Kctd3,,Cbln2,Wfs1
,Nfib,,SELENBP1,,,MEX3A,BHLHE22,RP3-391O22.3,,LILRA4,,NR1D1,,,DNAJC6,C1orf198,Bzw1,,Adam23,Xk
,Nif3l1,,KCNN3,,ATP2B2,,MGAT4C,BECN1,,ECE1,,NR1I2,,,KIF21B,C1orf198,Cnot2,,Pex5l,Xpr1
,Nipa1,,MBOAT2,,METAP1,,IDH2,DIRAS2,,IL1R1,,C1orf51,,,MAP7D1,IRF2BP2,Ankle2,,Cpxm2,Zfp238
,Nkrf,,GALM,,CLEC2L,,HHIPL1,GLMN,,PBXIP1,,ZNF442,,,SIPA1L2,ARID4B,Satb1,,Htra4,5-Sep
,Nlgn1,,PLEKHG1,,PI4KA,,TRAK1,AFF1,,INTU,,PHLDB3,,,AKT3,ARID4B,Cd164,,Col10a1,1110018G07Rik
,Nnat,,SFXN5,,C10orf35,,C16orf72,BCL11A,,MPEG1,,RCN3,,,IPO13,GGPS1,Rab1,,Orai2,1110021L09Rik
,Nov,,ACKR3,,DIRAS1,,CADM1,NUAK1,,ADCYAP1R1,,PTENP1,,,PRRC2C,GGPS1,Siah1a,,Hipk4,8430419L09Rik
,Nova1,,CTDSP1,,PLCB1,,GPR132,CDC40,,NIM1,,LENG8-AS1,,,ARID1A,CEP170,Auts2,,Mvk,Abca5
,Npnt,,FAM198A,,,,MEX3B,SWAP70,,C2CD2,,LRRN3,,,SLC8A2,SDCCAG8,Akap10,,Sstr2,Abcc5
,Nppc,,IL17RD,,,,KLHL25,PAQR4,,AHCTF1,,PTK2B,,,CAMSAP2,COX20,Rock1,,Morc2b,Abhd2
,Nptn,,LRIG1,,,,SCN5A,KLHDC2,,HS3ST1,,NSA2,,,SGIP1,HNRNPU,Ktn1,,Gimap4,Acer3
,Nptxr,,ALDH1L1,,,,SETD8,TRIM14,,PCDHGA3,,OR1H1P,,,FOXO3,EFCAB2,Slk,,Neu2,Acvr1b
,Npy,,LPP,,,,PRKD1,GSK3B,,MBOAT1,,LRRC53,,,IRF2BPL,EFCAB2,Kpnb1,,Gria3,Adam22
,Nr2c2,,USP53,,,,POU3F2,GEM,,TMEM229B,,MYH7,,,GPAM,EFCAB2,Ssr3,,Nfyb,Adam9
,Nr4a3,,CYP4V2,,,,C17orf70,AC140542.2,,ZSCAN18,,PAFAH1B3,,,IQSEC3,EFCAB2,Bach2,,Skp1a,Adrbk1
,Nrg3,,MYO10,,,,PRKG1,TRIM27,,MGST1,,C1orf172,,,EGR1,SCCPDH,Cpsf6,,Gabra5,AK010878
,Nrip1,,FEM1C,,,,SLITRK2,BAG3,,SLC27A2,,RPP38,,,PTK2B,ZMYND11,Zfx,,Hs6st2,Ank1
,Nsf,,FGD4,,,,SAPCD2,PRKCE,,SBK1,,ZMPSTE24,,,MAPK8IP1,ZMYND11,Crbn,,Scn1a,Ankrd12
,Nsg2,,PSD2,,,,LRRC16B,SCRT1,,F2R,,HR,,,ZMIZ2,ZMYND11,Cers6,,9330159F19Rik,Aplp2
,Nudt11,,USP3,,,,PRR5,TIMP1,,IGFBP4,,HMCN1,,,CIT,ZMYND11,Plagl1,,Nfib,Arpp19
,Nxph1,,TP53BP2,,,,EMID1,NIPAL2,,HSPB1,,RP1-40E16.9,,,MED13L,DIP2C,Ctso,,Mtap2,Atp13a3
,Odz1,,EPHX1,,,,LYPD6,COPS3,,ROM1,,COBLL1,,,LRP1,GDI2,Cul3,,Ube2a,Atp1a2
,Odz2,,SLC18B1,,,,WDR86,BACE2,,FAM83G,,SLC22A17,,,PLP1,ANKRD16,2810474O19Rik,,Srsf1,Atp1b2
,Odz3,,SLC2A12,,,,LHFPL3,NCR3LG1,,CNBP,,ZFYVE28,,,PREX1,FBXO18,Camk4,,Nova1,Atp6v1b2
,Ogfrl1,,EGFR,,,,NANOS3,TRIM21,,ACER3,,TEAD3,,,SLC12A5,FBXO18,Zhx1,,Dek,Atp6v1e1
,Olfm3,,CHST7,,,,ZFP69,LINC00998,,MRVI1,,MAP2K3,,,CHD6,RBM17,Eif4a2,,Spin1,Atrn
,Osbp,,HMBOX1,,,,WNT7B,KCNA2,,SLC25A30,,ZNF697,,,IQSEC2,RBM17,Wnt5a,,Fam49b,Atrnl1
,Otud4,,ERLIN2,,,,HES4,SLC3A2,,ARID5A,,BLVRB,,,USP22,PFKFB3,Birc6,,Fam188a,B2m
,Pak3,,RGS20,,,,LINC00943,PFDN1,,BAI2,,VPS33B,,,USP9X,CELF2,Homer1,,Hipk3,Basp1
,Paqr9,,AK3,,,,RASSF10,ORC2,,NR1D1,,HPCAL1,,,GRM4,USP6NL,Syp,,Snap25,BC025190
,Pcdh11x,,STOM,,,,SPATS2L,MYSM1,,GPCPD1,,PARM1,,,ATXN1,CDC123,NA,,Epb4.1l1,Blcap
,Pcdh17,,NACC2,,,,STK40,MDFIC,,SLC44A3,,DHRS7,,,SLC25A23,NUDT5,Smc6,,Clta,C030046I01Rik
,Pcdh19,,SLC39A12,,,,MME,RP5-1024G6.8,,MPP3,,SLC9A5,,,EML2,SEPHS1,Fam168a,,Crmp1,C530028O21Rik
,Pcdh20,,PARD3,,,,SLC30A10,SLC25A4,,P2RX2,,CCBL1,,,MMP24,FAM171A1,Man1a2,,Gria2,Cacna1a
,Pcdh8,,ADIRF,,,,FAM118B,TCTEX1D1,,C14orf119,,MMP2,,,KDM5C,TRDMT1,Pdlim5,,Slc35f1,Cacna2d1
,Pcdha12,,GLUD1,,,,ADH5,PPP1R18,,OMG,,ZNF331,,,KLC1,ARL5B,Klf12,,Tanc2,Cacnb4
,Pcdhb17,,ADD3,,,,HIST1H2BK,IL17REL,,CHKB,,PLXNA3,,,THRA,C10orf114,Tm9sf3,,Camk2d,Cadps
,Pcdhb18,,EIF4EBP2,,,,HES5,NABP2,,PARM1,,DDX25,,,PRR12,MIR1915,Slc25a36,,Cadps,Camk2a
,Pcdhb2,,TMEM47,,,,5-Mar,MDH1,,SLC2A4,,CTC-575N7.1,,,PRKCG,SKIDA1,Serinc1,,Synpr,Camk2n2
,Pcdhb3,,PAMR1,,,,TFDP1,MYO16,,SOX9,,RASSF3,,,AHDC1,MLLT10,Smarcc1,,Chn1,Camkk2
,Pcdhb4,,NPAS3,,,,ZNF521,TMEM72-AS1,,TMEM155,,PLCG2,,,HIVEP3,MLLT10,Wwp1,,Scn2a1,Camta2
,Pcdhb5,,LGI4,,,,UBE2J1,ANAPC5,,TXNDC9,,CPSF3L,,,FBXL16,BMI1,Ndrg4,,Slc24a2,Canx
,Pcdhb6,,PLCB3,,,,OSTC,ALPK1,,BCL2A1,,RP11-247A12.2,,,MACF1,LOC100499489,NA,,9430031J16Rik,Casc4
,Pcdhb7,,FREM2,,,,CCDC167,SCN2A,,RC3H1,,KRBOX1,,,SMARCA4,ARHGAP21,Mdm2,,Vopp1,Ccdc50
,Pcdhb8,,SLC7A11,,,,NEU4,PCDH20,,EBF1,,,,,KDM4B,YME1L1,Srsf1,,Herc4,Cdc42bpa
,Pcdhb9,,TWF1,,,,MAFB,ANAPC1,,HSPB8,,,,,AKAP9,MASTL,Picalm,,Map3k1,Cdk5r1
,Pcdhgc3,,CACHD1,,,,GGTA1P,VPS37D,,FKBP14,,,,,GNAZ,ACBD5,Tulp4,,Mpzl1,Cdk5r2
,Pcnt,,SPON1,,,,BRD2,ABCB9,,NFKB2,,,,,DOCK4,ACBD5,Sgk3,,Rod1,Chm
,Pdzd8,,NADK2,,,,CCDC85C,PLXNA2,,ZFYVE16,,,,,CHN1,ACBD5,Usp32,,Rorb,Cnr1
,Per1,,GJA1,,,,HMGN1,RP11-288E14.2,,MPP6,,,,,TMOD2,ACBD5,Dynlt3,,Atp2b1,Cntnap1
,Pgm2l1,,PLOD2,,,,TRIM71,GS1-72M22.1,,RWDD1,,,,,TTBK2,RAB18,Pank1,,Rab39b,Cpeb2
,Pgrmc1,,GPR125,,,,DIO2,CSPG4P8,,TRAP1,,,,,SEC14L1,WAC,Atp8b2,,Hpcal1,Cpne4
,Pkia,,CARHSP1,,,,NRAS,RP11-429A20.3,,RAD1,,,,,SH3BP4,WAC,Ccni,,Kcnab1,Crebzf
,Plcb1,,CETN3,,,,SRA1,STRADA,,GPLD1,,,,,APOE,WAC-AS1,Ralgapa1,,Atl1,Ctxn1
,Plcxd2,,MERTK,,,,YBX1P10,DSE,,DNAJB5,,,,,XPO7,ZEB1,Nek7,,Nup35,Cyfip2
,Plcxd3,,KCNJ16,,,,,DYRK3,,S100A8,,,,,KIF1A,ZEB1,Zc3h12c,,Pcdh7,D0H4S114
,Plxdc2,,DDAH1,,,,,CPSF3,,SDC4,,,,,TULP4,ZEB1,Spcs3,,Prmt8,Dcaf6
,Pnoc,,ANKFN1,,,,,SDIM1,,TEAD3,,,,,FCHO1,ZEB1,Ttll7,,Zdhhc14,Dcaf7
,Ppig,,MSI2,,,,MIR3916,ZNF25,,EDN3,,,,,UNC13A,ZEB1-AS1,Ptar1,,Ano4,Dclk1
,Ppp1r9a,,PITPNC1,,,,HCG11,ADO,,NEURL3,,,,,OLFM1,KIF5B,Msl2,,Tpbg,Dgkb
,Ppp3cb,,FAM167A,,,,,PML,,PLSCR1,,,,,CAMSAP1,EPC1,Elavl2,,Neurod6,Dhx36
,Prickle2,,ENAH,,,,,BLVRB,,LRRN3,,,,,PRRC2B,EPC1,Ikbkg,,Usp38,Dnajc5
,Prnp,,PDLIM3,,,,LRRC37A6P,BAZ1A,,CEBPD,,,,,ZC3H4,ITGB1,Tmem30a,,Kcna2,Dner
,Prrg3,,APCDD1,,,,,MCOLN3,,MACROD1,,,,,LRP3,ITGB1,Appl2,,Kcnj4,Dock3
,Ptprg,,ACSS1,,,,DLG5-AS1,MPPED2,,FERMT2,,,,,UBA1,PARD3,Smg7,,Atrnl1,Dos
,Ptprj,,GRAMD3,,,,,LINC00898,,DNAJC28,,,,,SYNE1,CUL2,Epm2aip1,,A830018L16Rik,Dpp6
,Ptpro,,RHOC,,,,,TMEM26,,CACNA1G,,,,,KCNC3,CUL2,Larp4,,Samd12,Dusp11
,Pura,,DBI,,,,LINC00461,ATG2B,,PLD4,,,,,LRRC4B,ZNF32,Slc35a5,,Grin2a,Efr3b
,Pygo1,,WIF1,,,,,GOLGA3,,FAM65B,,,,,ACLY,ZNF32,Zfp266,,Slc9a6,Eif5
,Qpct,,UBE2L6,,,,,PBXIP1,,LIN7A,,,,,MAP1B,C10orf25,Rbm34,,Sorcs3,Elovl5
,Rab3gap2,,CPT2,,,,ZNF271,IMPAD1,,DUSP9,,,,,LLGL1,ZNF22,Rabgap1,,Ano3,Extl2
,Ranbp2,,ZBTB37,,,,,GPR158,,ARPP19,,,,,LRRC41,SGMS1,1110059G02Rik,,Klhl24,Fam131a
,Rapgef5,,GAREML,,,,,FIBP,,HELZ2,,,,,DHX30,CCDC6,Serbp1,,Ttl,Fam163b
,Rbbp6,,ABHD3,,,,,DNAJA4,,GABRG3,,,,,RAP1GAP2,RHOBTB1,Igbp1,,Mef2d,Fam70a
,Rbmxl1,,AHCYL2,,,,,RPL17P35,,BLNK,,,,,ANKRD17,ARID5B,Gnaq,,Shank3,Fat1
,Rc3h1,,TLCD1,,,,,SYT2,,ING1,,,,,KDM6B,ADO,Tmed2,,Cpne5,Foxp1
,Rc3h2,,ASRGL1,,,,,CACNB1,,C6orf141,,,,,DLG4,REEP3,Kdm2a,,Vti1a,Fth1
,Rcn1,,PPAP2B,,,,,DHX57,,TMEM38A,,,,,MTSS1L,HERC4,9030624J02Rik,,Mgea5,Gaa
,Rcn2,,AK4,,,,,TJP3,,SART3,,,,,SNAP25,HNRNPH3,4833406M21Rik,,Rasgrp1,Gabra3
,Reep1,,DHRS3,,,,,STXBP5-AS1,,ZNF827,,,,,BCAN,PBLD,Prkar1a,,Tmcc1,Gmfb
,Reep5,,NFIA,,,,,RP11-163N6.2,,SLC35F2,,,,,ARHGEF11,RUFY2,Atp8a1,,Kctd13,Gnai1
,Rgag4,,,,,,,NIF3L1,,CHRDL1,,,,,MYH10,RUFY2,Tmem33,,Gabra3,Gnao1
,Rgs17,,VANGL2,,,,,ADIRF-AS1,,NUDC,,,,,DCLK1,H2AFY2,Chn1,,Foxj3,Gnb1
,Rhbdl3,,INHBB,,,,,MAPK15,,FARP1,,,,,PDZD2,TYSND1,Parp6,,Kctd17,Gpd2
,Rictor,,PDLIM5,,,,,GABRD,,SRD5A1,,,,,LARGE,TYSND1,Nus1,,Ankrd12,Gria1
,Rimbp3,,GABRG1,,,,,EVC2,,APC,,,,,AGAP3,PPP3CB,Myom2,,Rcan2,Grlf1
,Rnf103,,PBXIP1,,,,,KLF9,,LGR6,,,,,MICAL2,FUT11,Dhx30,,Dnm3,Hcn1
,Rnf128,,NBPF10,,,,,FH,,CSF2RA,,,,,SORT1,ZSWIM8,Lypd6,,Erc2,Hpca
,Rnf152,,SLC15A2,,,,,FLNA,,PRR13,,,,,SPIRE1,NDST2,Fbxo32,,Camta2,Htr2c
,Rnf165,,BDH2,,,,,LIMS1,,TAGAP,,,,,NAV1,KAT6B,Stat1,,Bend6,Igfbpl1
,Rock2,,INTU,,,,,KATNB1,,CINP,,,,,PUM1,DLG5,Rab2a,,Trim46,Igsf5
,Rps6ka5,,ETNPPL,,,,,TNIP2,,COL20A1,,,,,DTNA,DLG5-AS1,BC005537,,Hpcal4,Itgav
,Rtn2,,SCRG1,,,,,TMEM159,,TAP1,,,,,DAGLA,ZMIZ1,Bpgm,,Pnma2,Kcna2
,Sbno1,,FBXO8,,,,,NME5,,PDLIM4,,,,,ARHGAP32,ZMIZ1-AS1,Foxp1,,Arl4a,Kcna6
,Scamp5,,RANBP3L,,,,,SMO,,MTMR11,,,,,APC,BMPR1A,Mapk8,,Plcb1,Kdelr2
,Scg2,,GPR98,,,,,LPP,,FAM198A,,,,,UBQLN1,KLLN,Zxdb,,Dlg2,Kitl
,Scn2a1,,PEX2,,,,,MFN1,,TNFRSF6B,,,,,AGTPBP1,PTEN,Adk,,Htatsf1,Klhdc2
,Sdc2,,KIAA1161,,,,,TYW5,,LPAR5,,,,,DTX1,HECTD2,Nup54,,Gprin1,Klhl2
,Sema3a,,ABCA1,,,,,GLCE,,PCBP3,,,,,AGAP2,CPEB3,Cep170,,Rbfox2,Lancl1
,Sema3c,,ALDH1A1,,,,,RP11-10G15.4,,RP11-461O7.1,,,,,KCNH3,5-Mar,Ppp1r12a,,Sgce,Lass6
,Sema3e,,SLC16A9,,,,,LGI3,,QRFPR,,,,,NHSL1,EXOC6,Ept1,,Atpaf1,Lemd3
,Sema4c,,GJB2,,,,,RP11-395B7.7,,HSPA12B,,,,,PCNXL2,FRA10AC1,Pum2,,Fam70a,Letmd1
,Sema5a,,HEPACAM,,,,,SPAG5,,RCBTB2,,,,,GLUL,TBC1D12,Nap1l1,,Vat1,Lifr
,Serinc1,,NDRG2,,,,,SLC8B1,,NOL4,,,,,RC3H1,ZNF518A,Mfap3,,Mycn,Lmo4
,Serpini1,,ARHGEF40,,,,,WSCD1,,SND1,,,,,ARHGEF4,TM9SF3,Rapgef6,,Jph3,Lsm14b
,Sertad4,,CASP7,,,,,GRID2,,LRTM2,,,,,TNS3,COX15,Ppp1cb,,Olfm1,Map2k1
,Sgcd,,ARHGAP42,,,,,AC084121.14,,TRAF3IP2,,,,,NACAD,CUTC,Srpk2,,Cdk14,Matr3
,Sgcz,,HTRA1,,,,,FNBP1L,,DNAJC5G,,,,,TTYH3,CWF19L1,Habp4,,4930506M07Rik,Mbp
,Shc3,,GPT2,,,,,FNDC3A,,RRN3,,,,,ZFHX2,LOC100289509,Snca,,Hlf,Mgrn1
,Shprh,,PEX11A,,,,,WEE1,,RAB15,,,,,SAP130,MGEA5,Mccc2,,Tax1bp1,Mmp16
,Slc12a5,,ACSF2,,,,,MAP6D1,,UBQLN4,,,,,DAB2IP,LDB1,Rhpn2,,Runx1t1,Mpv17l
,Slc16a7,,ACAA2,,,,,HSPB1,,SPN,,,,,STXBP1,FBXL15,Ppm1b,,Mapt,Mtap1a
,Slc17a6,,C14orf159,,,,,WWTR1,,SPATA2L,,,,,GABBR2,PSD,Dcaf12l1,,Pum2,Mtfp1
,Slc17a7,,AXL,,,,,AFG3L2,,TGFBR3,,,,,TMEM8B,PSD,Ubfd1,,Mbnl2,Mtus1
,Slc20a2,,TTYH1,,,,,SLC38A1,,MT1A,,,,,TMEM63B,PSD,Suz12,,Pppde2,Myadm
,Slc24a2,,NT5E,,,,,PIDD,,FBXO21,,,,,ARRB1,TRIM8,Nipbl,,C530008M17Rik,Nbea
,Slc2a13,,SLC3A2,,,,,FGF12,,CPNE8,,,,,SORL1,ARL3,Fbxl20,,Snn,Ncdn
,Slc32a1,,SCARA3,,,,,BTN3A1,,OSBP2,,,,,ARHGAP20,SFXN2,Id4,,Gda,Ndn
,Slc36a4,,DDIT4,,,,,FSTL4,,F3,,,,,UNC13C,NT5C2,Abca14,,Gmfb,Nefm
,Slc39a10,,ACOX2,,,,,SCN8A,,PALLD,,,,,MAPKBP1,INA,Pten,,Mapk1,Neurod1
,Slc39a6,,FAM107A,,,,,CCBE1,,DGAT2,,,,,PAK6,SFR1,4833424O15Rik,,Ypel2,Nfib
,Slc4a10,,IRF2,,,,,TRIM4,,TNFRSF11B,,,,,SECISBP2L,SFR1,Smarca5,,Nipal3,Nipa1
,Slc5a3,,RAB31,,,,,IFIH1,,PDCD2,,,,,PCDH10,MXI1,Lyrm5,,Sez6,Nova1
,Slc7a14,,DPY19L3,,,,,BIRC3,,C5orf51,,,,,PPP3CA,MXI1,Gtpbp4,,Atp2b3,Npy
,Slc8a1,,CHST14,,,,,C4A,,JKAMP,,,,,MAPK8IP3,LOC282997,Cplx2,,B4galt5,Nras
,Slc9a6,,SDC2,,,,,MAGI2-AS1,,SEMA7A,,,,,KIF21A,PDCD4,Isca1,,Rasl10b,Nsf
,Slc9a7,,CCDC8,,,,,PTPRD,,GTF2IRD1,,,,,SMARCC2,DCLRE1A,Osgin2,,Mapk8,Nucks1
,Slit3,,ANTXR1,,,,,CHML,,LPPR1,,,,,MAP3K12,DCLRE1A,Tbl1xr1,,Diras1,Nudcd3
,Slitrk2,,MT1E,,,,,HDAC1,,HS3ST5,,,,,ANKRD52,NHLRC2,1810014B01Rik,,Foxo6,Otud4
,Slitrk4,,GPR37L1,,,,,RHOC,,MAGEE2,,,,,RTN1,FAM160B1,Riok1,,Dact3,Pak3
,Sltm,,CRB1,,,,,FHOD1,,CLEC14A,,,,,SLC12A6,ATRNL1,Kif5b,,Bcl2l1,Paqr8
,Smarca5,,EMX2,,,,,PSMA5,,DNMT3A,,,,,DISP2,PDZD8,Msi2,,Csnk1e,Pcdh9
,Snca,,GPRC5C,,,,,FERMT2,,RAB11FIP1,,,,,TLE3,FAM204A,Tmod2,,Gnal,Pcdha1
,Snrpn,,ADORA2B,,,,,DDX60L,,FSCN1,,,,,NCOA2,TIAL1,Itgb1,,Dpysl5,Pcdhb18
,Snx16,,TMEM133,,,,,RASSF8,,DAGLA,,,,,NTRK3,ATE1,Ranbp6,,Ctnnd1,Pcmt1
